name,rating,date,text
Daniel,5,2024-05-20,Gamasuk ternyata ke xmax
Donny,5,2024-06-24,goood mantap sekali
A***g,5,2024-05-20,murah bangettt!!!
t***o,5,2024-05-20,mantap
Akbar,5,2024-05-20,mantap
Indra,5,2024-05-20,mantap
Anvary,5,2024-05-20,mantap
G***h,5,2024-05-20,mantap
P***o,5,2024-05-20,mantap
Rachmat,5,2024-05-20,mantap
Teddy,5,2024-05-20,mantap
William,5,2024-05-20,mantap
Christian,5,2024-05-20,mantap
Sutrisno,5,2024-05-20,👍
nully,5,2024-05-20,😍
M***j,5,2025-05-13,Madodet
Lutfi,5,2024-05-20,Bagus barang sesuai pict
HellmiFazharin,5,2024-05-20,mantap👍👍👍
Niko,5,2024-05-20,"🔥🔥🔥
#terarmarm"
Jihatul,5,2024-05-20,Mantap.
Arip,5,2024-05-20,kerennn
uut,5,2024-05-20,☺️👍🏼
Feri,5,2024-05-20,Mantabbbb
T***7,5,2024-05-20,barang sesuai pesanan mantap
Eko,5,2024-05-20,nice
Muhammad,5,2024-05-20,done
S***a,5,2024-05-20,bagus dan sesuai.
Muhamad,5,2024-05-20,"Okelah, PNP"
F***k,5,2024-05-20,barang sesuai pesanan
Aezky,4,2024-05-20,Gabisa buat vario 150 😔
dani,5,2024-05-20,good lah pokok nya
Reza,5,2024-05-20,pnp jos
Aldrin,5,2024-05-20,Bagoossss
Muhammad,5,2024-05-20,sip...sudah terpasang...
Luqyanachandra,5,2024-05-20,mantep
KRISHNA,5,2024-05-20,mantab
Ekolian,5,2024-05-20,mantab
A***m,5,2024-05-20,keren
Patria,5,2024-05-20,keren
Tegar,5,2024-05-20,Keren
Brama,5,2025-05-17,N/A
A***s,5,2025-05-13,N/A
G***m,5,2025-05-06,N/A
R***n,5,2025-05-06,N/A
B***q,5,2025-05-06,N/A
S***k,5,2025-04-29,N/A
R***n,5,2025-03-21,N/A
Robby,5,2024-09-22,N/A
F***L,5,2024-11-21,N/A
B***g,5,2024-10-22,N/A
Joseph,5,2024-09-22,N/A
rainbow,5,2024-07-24,N/A
Agus,5,2024-05-20,N/A
amran,5,2024-05-20,N/A
D***s,5,2024-05-20,N/A
Dendy,5,2024-05-20,N/A
A***a,5,2024-05-20,N/A
Sena,5,2024-05-20,N/A
E***c,5,2024-05-20,N/A
Alfian,5,2024-05-20,N/A
imScuffs,5,2024-05-20,N/A
fandyy,5,2024-05-20,N/A
Farin,5,2024-05-20,N/A
Ahmad,5,2024-05-20,N/A
latip,5,2024-05-20,N/A
D***n,5,2024-05-20,N/A
F***i,5,2024-05-20,N/A
Miftah,5,2024-05-20,N/A
Ayub,5,2024-05-20,N/A
Aisyali,4,2024-05-20,N/A
Azis,5,2024-05-20,N/A
Syahrizal,5,2024-05-20,N/A
Ardie,5,2024-05-20,N/A
Hadi,5,2024-05-20,N/A
Wahyu,5,2024-05-20,N/A
Stefan,5,2024-05-20,N/A
A***m,5,2024-05-20,N/A
W***m,5,2024-05-20,N/A
Reza,5,2024-05-20,N/A
d***n,5,2024-05-20,N/A
Ary,5,2024-05-20,N/A
R***n,4,2024-05-20,N/A
Stefan,5,2024-05-20,N/A
Irvan,5,2024-05-20,N/A
M***d,4,2024-05-20,N/A
nicko,5,2024-05-20,N/A
kahfiintannadhif,5,2024-05-20,N/A
D***a,5,2024-05-20,N/A
Rudi,5,2024-05-20,N/A
Davian,5,2024-05-20,N/A
Andi,5,2024-05-20,N/A
T***y,5,2024-05-20,keren!!
gaka,5,2024-05-20,mantapp
F***n,5,2024-05-20,"Bagus, cepat sampai"
Ulul,5,2024-05-20,alhamdulillah..
Arrence,5,2024-05-20,Bagus merah nya ga nora
Ronald,5,2024-05-20,barang sesuai
A***s,5,2024-05-20,ok
Adrian,5,2024-05-20,Joss..
Novianto,5,2024-05-20,Ok
D***e,4,2024-05-20,material bagus
Arif,5,2024-05-20,Kualitass Mantapp..
N***n,5,2024-05-20,mantab..
M***e,3,2024-05-20,barett
P***j,5,2025-04-29,Pokok nya mantul
MasMuchlis,4,2024-05-20,kualitas lumayan
nahrowi,5,2024-05-20,T.O.P B.G.T 🙏
Sigit,5,2024-05-20,barangnya bagus
Ferlly,4,2024-05-20,Tutupnya rembes
richo,5,2024-05-20,sip
John,5,2024-05-20,Sesuai dengan penjelasan
Affan,5,2024-05-20,thanks
jerry,5,2024-05-20,mantapp...
Master,5,2024-05-20,"Terimakasih banyak, mantab produknya"
Christian,5,2024-05-20,makasih
Jimmy,5,2024-05-20,👍
M***d,5,2024-05-20,🤘🏻
aan,5,2024-05-20,😁
E***a,5,2024-05-20,Jos
U***d,5,2025-04-22,"Bagus dan pass , mantapp"
Aksyal,5,2024-05-20,barang cepat sampai👍🏻
M***d,5,2024-05-20,.
Ferrel,5,2024-05-20,👍🏻👍🏻
Achmad,5,2024-05-20,Pass thankyou gann akurat mantapp
R***a,5,2024-05-20,cocok
zainul,5,2024-05-20,no ragu2 club
A***y,5,2024-05-20,keren.. Terima Kasih
Luky,5,2024-05-20,maaannnntttaaappppp
ardhi,5,2024-05-20,nice untuk produknya
O***b,5,2025-05-13,Barang ok
F***m,5,2025-05-06,Sangat bagus
Ayub,5,2024-05-20,cakep
BINARDI,5,2024-05-20,pesanan telah diterima dengan baik
B***u,5,2025-04-22,Brng bagus
F***h,5,2025-05-15,Sesuai expetasi
Steffan,5,2024-05-20,kerennn abis
mahir,5,2024-05-20,mantap pnp sekali
Feri,5,2024-10-22,bgus sesuai
Redi,1,2024-05-20,N/A
Muhammad,5,2024-05-20,Baguuss rapii
O***l,4,2025-05-13,Bagus
R***v,5,2025-05-13,Bagus
E***j,5,2025-05-06,Bagus
Khaedar,5,2024-10-22,bagus
swisween,5,2024-05-20,bagus
F***s,5,2025-05-19,Matappp
B***a,3,2024-05-20,drat beda
P***m,5,2025-05-13,Mntap
Q***h,5,2025-05-06,Paket cepat sampai
P***j,5,2025-05-13,Mantap
Q***o,5,2025-04-20,Mantap
Aldi,5,2025-02-19,mantap
Iip,5,2024-07-24,mantap
M***a,5,2024-05-20,mantap
Ahmad,5,2024-05-20,mantap👍👍
Afri,5,2024-05-20,Mantap
Riyananda,5,2024-05-20,mantap
U***r,5,2024-05-20,mantap
Rafi,3,2024-05-20,pesen warna silver yg datang warna hitam
Epenetus,5,2024-12-21,Good
f***n,5,2024-06-24,good
Udin,5,2024-05-20,konfirmasinya lama
harsya,5,2024-05-20,keren banget
Evan,5,2024-05-20,mantap dan joss
A***S,4,2024-05-20,(y)
SuL,5,2024-05-20,Terbaik
W***n,5,2024-09-22,mantappp
Fahmi,5,2024-06-24,Recomended
Faiz,5,2024-05-20,joss mantap siip jempolan
O***a,5,2025-04-29,Nice
JUSTIN,5,2025-01-20,Mantaapp
U***e,5,2025-05-06,Salah beli :') tpi gpp
Q***m,5,2025-05-06,Emang mantaf
M***h,5,2024-05-20,Warna bagus
Z***v,5,2025-05-06,Sesuai warna
R***l,5,2024-05-20,pnp passs
Randy,5,2024-07-24,keren buat pemanis
O***r,5,2025-04-20,Mantul
H,5,2024-05-20,alhamdulillah
C***z,5,2025-05-06,Joss
Rusdiana,5,2024-05-20,mantab
A***n,5,2024-05-20,mantab
G***n,3,2025-05-06,mayan
