name,rating,date,text
Riski,5,2024-05-20,"Lega karena packingnya aman & rapi.
Berfungsi dengan normal. Kualitas baik. Recomended Seller."
Ilham,5,2024-06-24,"pnp untuk soul gt 125,kwalitas barang bagus,respon seller cepat,pengiriman jg cepat 👍"
A***y,5,2024-05-20,"Barang sesuai pesanan, langganan disini mantab bikin motor makin keceee"
A***a,5,2024-05-20,"Barang bagus, packing aman, produk lokal berkualitas"
Suduttimur,5,2024-05-20,"ajipp, warna keluar, bahan kokoh, cakep pas sama motor 
semoga awettt, nambah keren motor kalo pake ini ajip dah pokoknyaaa"
Aulia,5,2024-05-20,"Gookilll, semua barang presisi"
Budi,5,2024-10-22,seller fast respon produk yg dijual mantap & keren bahannya juga siiip puas belanja ditoko ini
Aji,5,2024-05-20,"kelihatan imut, Model nya Panjang Lagi Mungkin Lbh Bagus"
M***n,5,2024-05-20,"Material produk bagus, produk sesuai pesanan, pas di ukuran motornya. Terima Kasih"
Aditia,5,2024-05-20,produk sesuai deskripsi. bahan bagus. semoga awet. pengiriman standar.
Ariyas,5,2024-05-20,"mantap sesuai pesanan dan  sesuai pengirim, next order apa lagi yaaa"
i***i,5,2024-05-20,Seller ramah dan barang dipacking dengan sangat baik. Makasih banyak gan 🙏
Joko,4,2024-05-20,barang bagus..tp pengemasan kurang aman..pd bocel.saran aja..klo bs pengemasan lebih ditambahi pengaman
Irfan,5,2024-05-20,mantap barang sesuai deskripsi proses cepat
Andika,4,2024-05-20,"bahanya bagus , tapi kayanya warnanya kurang maksimal"
Erlian,5,2024-05-20,"cakep, pengiriman cepat, recommended seller"
P***a,5,2024-05-20,"pas presisi PNP bosss 👍👍😎😎 bahan bagus model keren,, stylis boss,,, bukan kaleng kaleng 😎😎👍👍"
Fiyrn,5,2024-06-24,"Produk sesuai deskripsi, pengiriman cepat, fast respon. Mantaaapps"
Agus,5,2024-10-22,tutup oli keren sesuai deskripsi..packing aman & pengiriman cepat. good seller
maydhika,5,2024-05-20,"Pengiriman cepat, kualitas barang baik🙏"
Q***n,5,2024-05-20,"barangnya kokoh, warna cakep, tapi mudah ke gores, cocok untuk motor honda"
C***o,5,2024-05-20,respon seller cepat barang sesuai pesanan
DAFFA,5,2024-05-20,"barang sudah diterima, sudah terpasang, tidak ada kendala, sangat pas sama lubang bautnya, terimakasih"
twiki,5,2025-03-21,"pengiriman cepat, barang dan bahan bagus 
thx arumi"
f***l,5,2024-06-24,"bagus, pengiriman cepat dan packing sangat rapi"
David,5,2024-05-20,Kualitas dan Produk Arumi Selalu Bagus Buat Accecoris Motor
R***l,5,2025-05-18,"kak barang sudah sampai, dan semoga presisi dan semoga awet. Terima kasih🙏🏻🙏🏻🙏🏻"
Ary,3,2024-05-20,paket diterima dengan baik dan aman. terpasang baik. proses sampe pengiriman edan luar biasa lama sampe 6 hari. tks
Ibram,5,2024-05-20,produk bgs pengiriman cepat seller ramah kurir oke mantaapp
H***e,5,2025-04-29,Barang sampe Dengan selamat pengiriman cepat dan sudah di pasang rapih.. sangat recommended 🤙
O***u,5,2025-05-13,"mantap produk arm ❤️
enak ga kepanjangan,jadi gak ribet lagi kalo nyuci"
F***r,5,2024-05-25,"langganan, barang bagus, sesuai konsep warnanya"
A***g,5,2024-05-20,sesuai dengan deskripsi produk yg di-posting semoga bermanfaat dan berfungsi dengan baik 👍🙏
Kurnia,5,2024-05-20,"Barang sih bagus tpi utk pengiriman agar ditingkatkan lagi gan, soalnya order dri tgl 22 dan tgl 29 baru nyampe"
R***l,5,2024-05-20,kualitas barang aksesoris pemanis buat motor dari arm emg oke
Mas,5,2024-05-20,"Alhamdulillah pengiriman mantap sesuai perkiraan, barangnya juga ok, pas."
T***m,5,2024-05-20,"barang mantap, pas dipasang di Aerox  2022 Connected, hanya sampai barangnya lama dari SICEPAT."
sudarsono,5,2024-05-20,"Barang ok siipp..
Sayangnya kurir agak lambat kirim barang ke rmh..barang sudah nyampe tp msh di tahan sama jasa kirim..bukannya cepat diantr ke rmh..smoga kedepannya agar lebih lagi..terima ksh seler,tokopedia and jasa kirim..👍👍👍"
F***y,5,2024-05-20,"paket mendarat sesuai pesanan,
cuma pengiriman yg lama."
J***y,5,2024-05-20,"Seller ini TOP , salah kirim barang dikembali kn dgn mudah dan cepat , gak berbelit2 .. mantappp"
Abe,5,2024-05-20,"Barang keren dan materialnya solid, dapet bonus pula! 😝
Wah recommended seller!"
Agyl,5,2024-05-20,mantap. pas. keren... makasih sellerAksesorisnya keren!. Aksesoris pas dimotor saya!. Aksesoris pas dimotor saya!. Berfungsi dengan baik.
Nicky,5,2024-05-20,"kokoh, finishing oke. may long last with my bike"
Saeful,5,2024-05-20,Oke banget suka sama kualitas nya
